      <pre><font face="Courier New, Courier, mono">Mlađi seniori / Senior Men U23 - 100 m
Result	Wind	Name_Surname	Birthday	Club	City	Date
10,20	+1,5	Dario Horvat 	25.02.1992	ZAG	Azusa, TX	11.05.2013
10,59	+1,8	Andrej Doričić 	30.07.1992	KAT	Rijeka 	26.06.2013
11,09	+1,9	Sanjin Šimić 	04.06.1992	DZ	Maribor	03.07.2013
11,30	+1,9	Andi Erega 	23.11.1991	DZ	Maribor	03.07.2013
11,41	+0,6	Dražen Hudoletnjak 	08.03.1993	SV	Čakovec	12.05.2013
11,58	+0,9	Borna Diković	07.08.1993	AGR	Zagreb 	04.05.2013
11,63	+0,9	Monico Pongrac 	08.04.1992	MČ	Varaždin 	14.04.2013
11,73	+0,6	Hrvoje Marinić 	07.08.1993	MZ	Čakovec	12.05.2013
11,91	+1,9	Gordan Dugina	03.02.1993	KAT	Rijeka 	26.06.2013
12,79	+0,1	Dino Železnjak 	24.08.1991	NED	Varaždin 	12.10.2013
    uz pomoć vjetra / wind assisted
10,18	+2,1	Dario Horvat 	25.02.1992	ZAG	Austin, TX 	30.03.2013
Mlađi seniori / Senior Men U23 - 200 m
Result	Wind	Name_Surname	Birthday	Club	City	Date
21,09	+1,3	Dario Horvat 	25.02.1992	ZAG	Albuquerque, NM	06.04.2013
22,62	+1,1	Andi Erega 	23.11.1991	DZ	Maribor	03.07.2013
22,89	+1,6	Dražen Hudoletnjak 	08.03.1993	SV	Ptuj 	24.07.2013
23,40	+0,8	Sanjin Šimić 	04.06.1992	DZ	Zagreb 	19.05.2013
23,45	+1,4	Hrvoje Marinić 	07.08.1993	MZ	Zagreb 	19.05.2013
24,29	+0,2	Zrinko Čavar 	01.11.1992	BJ	Zagreb 	19.05.2013
    uz pomoć vjetra / wind assisted
25,41	+2,9	Marko Drmić	24.12.1991	ASK	Split	14.04.2013
Mlađi seniori / Senior Men U23 - 400 m
Result	Name_Surname	Birthday	Club	City	Date
50,18	Dražen Hudoletnjak 	08.03.1993	SV	Zagreb 	08.06.2013
50,72	Rozario Uskok	12.09.1993	KAT	Split	07.09.2013
51,12	Marko Sterpin	17.12.1993	KAT	Zagreb 	08.06.2013
51,28	Alen Pešić 	08.05.1993	DZ	Zagreb 	01.06.2013
52,37	Hrvoje Marinić 	07.08.1993	MZ	Zagreb 	04.05.2013
52,56	Marko Drmić	24.12.1991	ASK	Split	28.09.2013
52,93	Gordan Dugina	03.02.1993	KAT	Zagreb 	04.05.2013
53,07	Zvonimir Pavlečić	30.04.1993	VG	Zagreb 	08.06.2013
53,87	Boris Pribanić 	13.09.1993	KAT	Rijeka 	26.06.2013
58,86	Dino Železnjak 	24.08.1991	NED	Varaždin 	12.10.2013
59,70	Damir Cerić	22.09.1991	KAT	Pula 	02.03.2013
Mlađi seniori / Senior Men U23 - 800 m
Result	Name_Surname	Birthday	Club	City	Date
2:00,89	Marko Belušić	10.09.1991	KAT	Zagreb 	09.06.2013
2:02,66	Rozario Uskok	12.09.1993	KAT	Split	08.09.2013
2:03,78	Marko Sterpin	17.12.1993	KAT	Pula 	02.03.2013
2:06,00	Boris Pribanić 	13.09.1993	KAT	Pula 	02.03.2013
2:07,68	Sandy Protić 	08.04.1993	DZ	Varaždin 	01.09.2013
2:08,72	Marko Drmić	24.12.1991	ASK	Split	08.09.2013
2:09,73	Fabijan Petar Dobrota	23.10.1992	ZAG	Slovenska Bistrica 	25.05.2013
2:11,14	Zvonimir Pavlečić	30.04.1993	VG	Zagreb 	09.06.2013
Mlađi seniori / Senior Men U23 - 1.500 m
Result	Name_Surname	Birthday	Club	City	Date
4:01,94	Mihael Minđek	11.01.1993	MZ	Varaždin 	31.08.2013
4:34,11	Sandy Protić 	08.04.1993	DZ	Varaždin 	31.08.2013
4:39,45	Marko Belušić	10.09.1991	KAT	Pula 	02.03.2013
5:03,04	Dominik Kovačić	09.09.1992	NED	Varaždin 	31.08.2013
